numEyes,0.0,0.0,1.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0
numSpikes,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0
numTouchSensors,3.0,27.0,4.0,5.0,9.0,9.0,4.0,12.0,4.0,15.0,6.0,8.0,4.0,5.0,8.0,5.0,10.0,5.0
numNeurons,20.0,45.0,30.0,36.0,49.0,27.0,40.0,49.0,44.0,54.0,39.0,28.0,33.0,20.0,26.0,22.0,51.0,31.0
numSynapses,62.0,139.0,86.0,82.0,279.0,81.0,187.0,199.0,215.0,244.0,203.0,119.0,130.0,44.0,75.0,80.0,214.0,112.0
numInputNeurons,6.0,30.0,16.0,26.0,30.0,12.0,25.0,33.0,25.0,36.0,18.0,11.0,16.0,8.0,11.0,8.0,31.0,17.0
numHiddenNeurons,9.0,9.0,10.0,6.0,15.0,8.0,11.0,11.0,15.0,12.0,16.0,13.0,12.0,7.0,10.0,10.0,13.0,10.0
numOutputNeurons,5.0,6.0,4.0,4.0,4.0,7.0,4.0,5.0,4.0,6.0,5.0,4.0,5.0,5.0,5.0,4.0,7.0,4.0
